"","SUNSID","Acres","BUFF_DIST","Method","Start","Buff03km","Buffer05km","Buffer1km","Buff03SLR2","Buff05SLR2ft","Buff1SLR2ft","Buff03SFHA","Buff05SFHA","Buff1SFHA"
"52","MEX03",18.4099998474121,300,"Census_pop20","Footprint",242.953793086127,NA,NA,4.15512732320689,NA,NA,35.5422997077171,NA,NA
"53","MEX03",18.4099998474121,300,"ParcelAll_bldgcnt","Footprint",392,NA,NA,0,NA,NA,54,NA,NA
"54","MEX03",18.4099998474121,300,"ParcelRes_count","Footprint",385,NA,NA,9,NA,NA,75,NA,NA
"55","MEX03",18.4099998474121,300,"ParcelAll_count","Footprint",760,NA,NA,41,NA,NA,135,NA,NA
"56","MEX02",21.0699996948242,300,"Landscan_pop","Footprint",130,NA,NA,0,NA,NA,14,NA,NA
"57","MEX02",21.0699996948242,300,"Census_pop20","Footprint",169.226480699508,NA,NA,3.96675274579874,NA,NA,30.6511802933084,NA,NA
"58","MEX02",21.0699996948242,300,"ParcelAll_bldgcnt","Footprint",250,NA,NA,0,NA,NA,28,NA,NA
"59","MEX02",21.0699996948242,300,"ParcelRes_count","Footprint",255,NA,NA,8,NA,NA,48,NA,NA
"60","MEX02",21.0699996948242,300,"ParcelAll_count","Footprint",509,NA,NA,35,NA,NA,89,NA,NA
"61","PAN07",5.98999977111816,300,"Landscan_pop","Footprint",584,NA,NA,NA,NA,NA,NA,NA,NA
"62","PAN07",5.98999977111816,300,"Census_pop20","Footprint",631.330492346544,NA,NA,NA,NA,NA,NA,NA,NA
"63","PAN07",5.98999977111816,300,"ParcelAll_bldgcnt","Footprint",282,NA,NA,NA,NA,NA,NA,NA,NA
"64","PAN07",5.98999977111816,300,"ParcelRes_count","Footprint",300,NA,NA,NA,NA,NA,NA,NA,NA
"65","PAN07",5.98999977111816,300,"ParcelAll_count","Footprint",327,NA,NA,NA,NA,NA,NA,NA,NA
"66","PAN19",5.59999990463257,300,"Landscan_pop","Footprint",76,NA,NA,0,NA,NA,0,NA,NA
"67","PAN19",5.59999990463257,300,"Census_pop20","Footprint",82.3144951532938,NA,NA,1.40989764135977,NA,NA,11.2362717221283,NA,NA
